session_id,fault_class,severity,driving_context,ground_truth_dtc,seconds
air_filter_restriction_009,air_filter_restriction,moderate,highway,,300
air_filter_restriction_010,air_filter_restriction,mild,highway,,300
air_filter_restriction_011,air_filter_restriction,mild,highway,,300
air_filter_restriction_012,air_filter_restriction,severe,city,,300
air_filter_restriction_013,air_filter_restriction,mild,city,,300
air_filter_restriction_014,air_filter_restriction,moderate,city,,300
air_filter_restriction_015,air_filter_restriction,severe,highway,,300
air_filter_restriction_016,air_filter_restriction,mild,highway,,300
air_filter_restriction_017,air_filter_restriction,mild,highway,,300
air_filter_restriction_018,air_filter_restriction,mild,highway,,300
air_filter_restriction_019,air_filter_restriction,severe,city,,300
air_filter_restriction_020,air_filter_restriction,severe,city,,300
air_filter_restriction_021,air_filter_restriction,mild,highway,,300
air_filter_restriction_022,air_filter_restriction,moderate,city,,300
air_filter_restriction_023,air_filter_restriction,mild,highway,,300
air_filter_restriction_024,air_filter_restriction,mild,city,,300
egr_stuck_open_000,egr_stuck_open,mild,city,,300
egr_stuck_open_001,egr_stuck_open,mild,city,,300
egr_stuck_open_002,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_003,egr_stuck_open,severe,city,P0401,300
egr_stuck_open_004,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_005,egr_stuck_open,mild,city,,300
egr_stuck_open_006,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_007,egr_stuck_open,mild,city,,300
egr_stuck_open_008,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_009,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_010,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_011,egr_stuck_open,severe,city,P0401,300
egr_stuck_open_012,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_013,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_014,egr_stuck_open,severe,city,P0401,300
egr_stuck_open_015,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_016,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_017,egr_stuck_open,mild,city,,300
egr_stuck_open_018,egr_stuck_open,severe,city,P0401,300
egr_stuck_open_019,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_020,egr_stuck_open,mild,city,,300
egr_stuck_open_021,egr_stuck_open,moderate,city,P0401,300
egr_stuck_open_022,egr_stuck_open,severe,city,P0401,300
egr_stuck_open_023,egr_stuck_open,severe,city,P0401,300
egr_stuck_open_024,egr_stuck_open,moderate,city,P0401,300
fuel_pump_weak_000,fuel_pump_weak,moderate,city,P0171,300
fuel_pump_weak_001,fuel_pump_weak,severe,city,P0171,300
fuel_pump_weak_002,fuel_pump_weak,mild,highway,,300
fuel_pump_weak_003,fuel_pump_weak,severe,highway,P0171,300
fuel_pump_weak_004,fuel_pump_weak,mild,city,,300
fuel_pump_weak_005,fuel_pump_weak,severe,highway,P0171,300
fuel_pump_weak_006,fuel_pump_weak,moderate,city,P0171,300
fuel_pump_weak_007,fuel_pump_weak,moderate,highway,P0171,300
fuel_pump_weak_008,fuel_pump_weak,moderate,city,P0171,300
fuel_pump_weak_009,fuel_pump_weak,mild,highway,,300
fuel_pump_weak_010,fuel_pump_weak,moderate,city,P0171,300
fuel_pump_weak_011,fuel_pump_weak,severe,city,P0171,300
fuel_pump_weak_012,fuel_pump_weak,mild,highway,,300
fuel_pump_weak_013,fuel_pump_weak,severe,highway,P0171,300
fuel_pump_weak_014,fuel_pump_weak,moderate,highway,P0171,300
fuel_pump_weak_015,fuel_pump_weak,mild,highway,,300
fuel_pump_weak_016,fuel_pump_weak,moderate,highway,P0171,300
fuel_pump_weak_017,fuel_pump_weak,moderate,highway,P0171,300
fuel_pump_weak_018,fuel_pump_weak,mild,highway,,300
fuel_pump_weak_019,fuel_pump_weak,moderate,city,P0171,300
fuel_pump_weak_020,fuel_pump_weak,severe,city,P0171,300
fuel_pump_weak_021,fuel_pump_weak,severe,city,P0171,300
fuel_pump_weak_022,fuel_pump_weak,moderate,city,P0171,300
fuel_pump_weak_023,fuel_pump_weak,moderate,city,P0171,300
fuel_pump_weak_024,fuel_pump_weak,moderate,highway,P0171,300
injector_leak_rich_000,injector_leak_rich,mild,highway,,300
injector_leak_rich_001,injector_leak_rich,moderate,city,P0172,300
injector_leak_rich_002,injector_leak_rich,mild,highway,,300
injector_leak_rich_003,injector_leak_rich,moderate,highway,P0172,300
injector_leak_rich_004,injector_leak_rich,moderate,city,P0172,300
injector_leak_rich_005,injector_leak_rich,severe,city,P0172,300
injector_leak_rich_006,injector_leak_rich,moderate,highway,P0172,300
injector_leak_rich_007,injector_leak_rich,mild,city,,300
injector_leak_rich_008,injector_leak_rich,severe,highway,P0172,300
injector_leak_rich_009,injector_leak_rich,severe,highway,P0172,300
injector_leak_rich_010,injector_leak_rich,moderate,highway,P0172,300
injector_leak_rich_011,injector_leak_rich,severe,highway,P0172,300
injector_leak_rich_012,injector_leak_rich,mild,highway,,300
injector_leak_rich_013,injector_leak_rich,mild,city,,300
injector_leak_rich_014,injector_leak_rich,moderate,highway,P0172,300
injector_leak_rich_015,injector_leak_rich,mild,city,,300
injector_leak_rich_016,injector_leak_rich,severe,highway,P0172,300
injector_leak_rich_017,injector_leak_rich,moderate,highway,P0172,300
injector_leak_rich_018,injector_leak_rich,severe,highway,P0172,300
injector_leak_rich_019,injector_leak_rich,mild,city,,300
injector_leak_rich_020,injector_leak_rich,moderate,highway,P0172,300
injector_leak_rich_021,injector_leak_rich,moderate,city,P0172,300
injector_leak_rich_022,injector_leak_rich,moderate,city,P0172,300
injector_leak_rich_023,injector_leak_rich,moderate,city,P0172,300
injector_leak_rich_024,injector_leak_rich,severe,highway,P0172,300
ignition_misfire_000,ignition_misfire,moderate,city,P0301,300
ignition_misfire_001,ignition_misfire,severe,city,P0301,300
ignition_misfire_002,ignition_misfire,mild,city,,300
ignition_misfire_003,ignition_misfire,moderate,city,P0301,300
ignition_misfire_004,ignition_misfire,moderate,city,P0301,300
ignition_misfire_005,ignition_misfire,moderate,city,P0301,300
ignition_misfire_006,ignition_misfire,severe,city,P0301,300
ignition_misfire_007,ignition_misfire,severe,city,P0301,300
ignition_misfire_008,ignition_misfire,severe,city,P0301,300
ignition_misfire_009,ignition_misfire,severe,city,P0301,300
ignition_misfire_010,ignition_misfire,moderate,city,P0301,300
ignition_misfire_011,ignition_misfire,moderate,city,P0301,300
ignition_misfire_012,ignition_misfire,mild,city,,300
ignition_misfire_013,ignition_misfire,mild,city,,300
ignition_misfire_014,ignition_misfire,moderate,city,P0301,300
ignition_misfire_015,ignition_misfire,moderate,city,P0301,300
ignition_misfire_016,ignition_misfire,moderate,city,P0301,300
ignition_misfire_017,ignition_misfire,severe,city,P0301,300
ignition_misfire_018,ignition_misfire,mild,city,,300
ignition_misfire_019,ignition_misfire,moderate,city,P0301,300
ignition_misfire_020,ignition_misfire,severe,city,P0301,300
ignition_misfire_021,ignition_misfire,severe,city,P0301,300
ignition_misfire_022,ignition_misfire,moderate,city,P0301,300
ignition_misfire_023,ignition_misfire,moderate,city,P0301,300
ignition_misfire_024,ignition_misfire,mild,city,,300
spark_plug_wear_000,spark_plug_wear,moderate,highway,,300
spark_plug_wear_001,spark_plug_wear,moderate,highway,,300
spark_plug_wear_002,spark_plug_wear,moderate,highway,,300
spark_plug_wear_003,spark_plug_wear,moderate,highway,,300
spark_plug_wear_004,spark_plug_wear,moderate,highway,,300
spark_plug_wear_005,spark_plug_wear,severe,city,,300
spark_plug_wear_006,spark_plug_wear,moderate,city,,300
spark_plug_wear_007,spark_plug_wear,moderate,city,,300
spark_plug_wear_008,spark_plug_wear,severe,highway,,300
spark_plug_wear_009,spark_plug_wear,moderate,highway,,300
spark_plug_wear_010,spark_plug_wear,mild,city,,300
spark_plug_wear_011,spark_plug_wear,severe,highway,,300
spark_plug_wear_012,spark_plug_wear,moderate,city,,300
spark_plug_wear_013,spark_plug_wear,mild,highway,,300
spark_plug_wear_014,spark_plug_wear,severe,highway,,300
spark_plug_wear_015,spark_plug_wear,mild,highway,,300
spark_plug_wear_016,spark_plug_wear,moderate,city,,300
spark_plug_wear_017,spark_plug_wear,moderate,highway,,300
spark_plug_wear_018,spark_plug_wear,moderate,city,,300
spark_plug_wear_019,spark_plug_wear,mild,highway,,300
spark_plug_wear_020,spark_plug_wear,mild,highway,,300
spark_plug_wear_021,spark_plug_wear,moderate,highway,,300
spark_plug_wear_022,spark_plug_wear,moderate,city,,300
spark_plug_wear_023,spark_plug_wear,moderate,highway,,300
spark_plug_wear_024,spark_plug_wear,mild,highway,,300
thermostat_stuck_open_000,thermostat_stuck_open,moderate,highway,P0128,300
thermostat_stuck_open_001,thermostat_stuck_open,moderate,highway,P0128,300
thermostat_stuck_open_002,thermostat_stuck_open,mild,city,,300
thermostat_stuck_open_003,thermostat_stuck_open,severe,highway,P0128,300
thermostat_stuck_open_004,thermostat_stuck_open,mild,city,,300
thermostat_stuck_open_005,thermostat_stuck_open,severe,highway,P0128,300
thermostat_stuck_open_006,thermostat_stuck_open,moderate,city,P0128,300
thermostat_stuck_open_007,thermostat_stuck_open,mild,highway,,300
thermostat_stuck_open_008,thermostat_stuck_open,mild,city,,300
thermostat_stuck_open_009,thermostat_stuck_open,mild,highway,,300
thermostat_stuck_open_010,thermostat_stuck_open,moderate,highway,P0128,300
thermostat_stuck_open_011,thermostat_stuck_open,mild,highway,,300
thermostat_stuck_open_012,thermostat_stuck_open,severe,highway,P0128,300
thermostat_stuck_open_013,thermostat_stuck_open,mild,highway,,300
thermostat_stuck_open_014,thermostat_stuck_open,severe,highway,P0128,300
thermostat_stuck_open_015,thermostat_stuck_open,mild,highway,,300
thermostat_stuck_open_016,thermostat_stuck_open,moderate,highway,P0128,300
thermostat_stuck_open_017,thermostat_stuck_open,mild,highway,,300
thermostat_stuck_open_018,thermostat_stuck_open,severe,highway,P0128,300
thermostat_stuck_open_019,thermostat_stuck_open,moderate,highway,P0128,300
thermostat_stuck_open_020,thermostat_stuck_open,moderate,highway,P0128,300
thermostat_stuck_open_021,thermostat_stuck_open,moderate,highway,P0128,300
thermostat_stuck_open_022,thermostat_stuck_open,mild,city,,300
thermostat_stuck_open_023,thermostat_stuck_open,mild,highway,,300
thermostat_stuck_open_024,thermostat_stuck_open,moderate,city,P0128,300
overheating_000,overheating,mild,highway,,300
overheating_001,overheating,severe,highway,P0217,300
overheating_002,overheating,moderate,highway,P0217,300
overheating_003,overheating,moderate,city,P0217,300
overheating_004,overheating,mild,highway,,300
overheating_005,overheating,moderate,city,P0217,300
overheating_006,overheating,moderate,highway,P0217,300
overheating_007,overheating,mild,highway,,300
overheating_008,overheating,moderate,highway,P0217,300
overheating_009,overheating,mild,highway,,300
overheating_010,overheating,moderate,highway,P0217,300
overheating_011,overheating,moderate,highway,P0217,300
overheating_012,overheating,moderate,highway,P0217,300
overheating_013,overheating,severe,city,P0217,300
overheating_014,overheating,moderate,highway,P0217,300
overheating_015,overheating,mild,highway,,300
overheating_016,overheating,mild,city,,300
overheating_017,overheating,moderate,highway,P0217,300
overheating_018,overheating,moderate,city,P0217,300
overheating_019,overheating,mild,highway,,300
overheating_020,overheating,severe,highway,P0217,300
overheating_021,overheating,moderate,highway,P0217,300
overheating_022,overheating,severe,highway,P0217,300
overheating_023,overheating,moderate,city,P0217,300
overheating_024,overheating,mild,highway,,300
cooling_fan_failure_000,cooling_fan_failure,mild,city,,300
cooling_fan_failure_001,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_002,cooling_fan_failure,mild,city,,300
cooling_fan_failure_003,cooling_fan_failure,severe,city,,300
cooling_fan_failure_004,cooling_fan_failure,mild,city,,300
cooling_fan_failure_005,cooling_fan_failure,severe,city,,300
cooling_fan_failure_006,cooling_fan_failure,severe,city,,300
cooling_fan_failure_007,cooling_fan_failure,severe,city,,300
cooling_fan_failure_008,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_009,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_010,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_011,cooling_fan_failure,severe,city,,300
cooling_fan_failure_012,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_013,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_014,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_015,cooling_fan_failure,severe,city,,300
cooling_fan_failure_016,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_017,cooling_fan_failure,mild,city,,300
cooling_fan_failure_018,cooling_fan_failure,mild,city,,300
cooling_fan_failure_019,cooling_fan_failure,severe,city,,300
cooling_fan_failure_020,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_021,cooling_fan_failure,mild,city,,300
cooling_fan_failure_022,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_023,cooling_fan_failure,moderate,city,,300
cooling_fan_failure_024,cooling_fan_failure,moderate,city,,300
low_coolant_000,low_coolant,mild,city,,300
low_coolant_001,low_coolant,severe,highway,,300
low_coolant_002,low_coolant,severe,city,,300
low_coolant_003,low_coolant,moderate,city,,300
low_coolant_004,low_coolant,mild,highway,,300
low_coolant_005,low_coolant,mild,city,,300
low_coolant_006,low_coolant,mild,highway,,300
low_coolant_007,low_coolant,moderate,city,,300
low_coolant_008,low_coolant,mild,city,,300
low_coolant_009,low_coolant,moderate,highway,,300
low_coolant_010,low_coolant,moderate,highway,,300
low_coolant_011,low_coolant,moderate,city,,300
low_coolant_012,low_coolant,severe,highway,,300
low_coolant_013,low_coolant,mild,highway,,300
low_coolant_014,low_coolant,moderate,highway,,300
low_coolant_015,low_coolant,moderate,city,,300
low_coolant_016,low_coolant,moderate,highway,,300
low_coolant_017,low_coolant,moderate,highway,,300
low_coolant_018,low_coolant,severe,highway,,300
low_coolant_019,low_coolant,severe,highway,,300
low_coolant_020,low_coolant,moderate,highway,,300
low_coolant_021,low_coolant,mild,highway,,300
low_coolant_022,low_coolant,moderate,highway,,300
low_coolant_023,low_coolant,severe,city,,300
low_coolant_024,low_coolant,moderate,highway,,300
catalyst_degradation_000,catalyst_degradation,mild,highway,,300
catalyst_degradation_001,catalyst_degradation,severe,city,P0420,300
catalyst_degradation_002,catalyst_degradation,moderate,highway,P0420,300
catalyst_degradation_003,catalyst_degradation,severe,highway,P0420,300
catalyst_degradation_004,catalyst_degradation,severe,city,P0420,300
catalyst_degradation_005,catalyst_degradation,moderate,city,P0420,300
catalyst_degradation_006,catalyst_degradation,moderate,highway,P0420,300
catalyst_degradation_007,catalyst_degradation,mild,highway,,300
catalyst_degradation_008,catalyst_degradation,mild,highway,,300
catalyst_degradation_009,catalyst_degradation,mild,city,,300
catalyst_degradation_010,catalyst_degradation,moderate,city,P0420,300
catalyst_degradation_011,catalyst_degradation,moderate,highway,P0420,300
catalyst_degradation_012,catalyst_degradation,moderate,city,P0420,300
catalyst_degradation_013,catalyst_degradation,severe,highway,P0420,300
catalyst_degradation_014,catalyst_degradation,severe,highway,P0420,300
catalyst_degradation_015,catalyst_degradation,mild,highway,,300
catalyst_degradation_016,catalyst_degradation,severe,highway,P0420,300
catalyst_degradation_017,catalyst_degradation,severe,highway,P0420,300
catalyst_degradation_018,catalyst_degradation,mild,highway,,300
catalyst_degradation_019,catalyst_degradation,severe,highway,P0420,300
catalyst_degradation_020,catalyst_degradation,mild,highway,,300
catalyst_degradation_021,catalyst_degradation,severe,highway,P0420,300
catalyst_degradation_022,catalyst_degradation,mild,city,,300
catalyst_degradation_023,catalyst_degradation,mild,city,,300
catalyst_degradation_024,catalyst_degradation,moderate,highway,P0420,300
catalyst_restriction_000,catalyst_restriction,moderate,city,P0420,300
catalyst_restriction_001,catalyst_restriction,severe,highway,P0420,300
catalyst_restriction_002,catalyst_restriction,severe,highway,P0420,300
catalyst_restriction_003,catalyst_restriction,severe,highway,P0420,300
catalyst_restriction_004,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_005,catalyst_restriction,severe,highway,P0420,300
catalyst_restriction_006,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_007,catalyst_restriction,mild,highway,,300
catalyst_restriction_008,catalyst_restriction,mild,highway,,300
catalyst_restriction_009,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_010,catalyst_restriction,severe,city,P0420,300
catalyst_restriction_011,catalyst_restriction,mild,highway,,300
catalyst_restriction_012,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_013,catalyst_restriction,severe,city,P0420,300
catalyst_restriction_014,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_015,catalyst_restriction,moderate,city,P0420,300
catalyst_restriction_016,catalyst_restriction,severe,highway,P0420,300
catalyst_restriction_017,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_018,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_019,catalyst_restriction,mild,highway,,300
catalyst_restriction_020,catalyst_restriction,severe,city,P0420,300
catalyst_restriction_021,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_022,catalyst_restriction,moderate,highway,P0420,300
catalyst_restriction_023,catalyst_restriction,mild,highway,,300
catalyst_restriction_024,catalyst_restriction,moderate,city,P0420,300
evap_purge_stuck_000,evap_purge_stuck,moderate,city,P0441,300
evap_purge_stuck_001,evap_purge_stuck,mild,city,,300
evap_purge_stuck_002,evap_purge_stuck,mild,city,,300
evap_purge_stuck_003,evap_purge_stuck,mild,city,,300
evap_purge_stuck_004,evap_purge_stuck,severe,city,P0441,300
evap_purge_stuck_005,evap_purge_stuck,mild,city,,300
evap_purge_stuck_006,evap_purge_stuck,moderate,city,P0441,300
evap_purge_stuck_007,evap_purge_stuck,mild,city,,300
evap_purge_stuck_008,evap_purge_stuck,severe,city,P0441,300
evap_purge_stuck_009,evap_purge_stuck,severe,city,P0441,300
evap_purge_stuck_010,evap_purge_stuck,mild,city,,300
evap_purge_stuck_011,evap_purge_stuck,moderate,city,P0441,300
evap_purge_stuck_012,evap_purge_stuck,moderate,city,P0441,300
evap_purge_stuck_013,evap_purge_stuck,severe,city,P0441,300
evap_purge_stuck_014,evap_purge_stuck,moderate,city,P0441,300
evap_purge_stuck_015,evap_purge_stuck,moderate,city,P0441,300
evap_purge_stuck_016,evap_purge_stuck,severe,city,P0441,300
evap_purge_stuck_017,evap_purge_stuck,mild,city,,300
evap_purge_stuck_018,evap_purge_stuck,mild,city,,300
evap_purge_stuck_019,evap_purge_stuck,mild,city,,300
evap_purge_stuck_020,evap_purge_stuck,mild,city,,300
evap_purge_stuck_021,evap_purge_stuck,mild,city,,300
evap_purge_stuck_022,evap_purge_stuck,severe,city,P0441,300
evap_purge_stuck_023,evap_purge_stuck,mild,city,,300
evap_purge_stuck_024,evap_purge_stuck,moderate,city,P0441,300
o2_sensor_drift_000,o2_sensor_drift,moderate,city,P0136,300
o2_sensor_drift_001,o2_sensor_drift,moderate,highway,P0136,300
o2_sensor_drift_002,o2_sensor_drift,severe,city,P0136,300
o2_sensor_drift_003,o2_sensor_drift,mild,city,,300
o2_sensor_drift_004,o2_sensor_drift,mild,city,,300
o2_sensor_drift_005,o2_sensor_drift,moderate,highway,P0136,300
o2_sensor_drift_006,o2_sensor_drift,moderate,city,P0136,300
o2_sensor_drift_007,o2_sensor_drift,moderate,highway,P0136,300
o2_sensor_drift_008,o2_sensor_drift,moderate,highway,P0136,300
o2_sensor_drift_009,o2_sensor_drift,severe,city,P0136,300
o2_sensor_drift_010,o2_sensor_drift,mild,city,,300
o2_sensor_drift_011,o2_sensor_drift,mild,highway,,300
o2_sensor_drift_012,o2_sensor_drift,severe,highway,P0136,300
o2_sensor_drift_013,o2_sensor_drift,moderate,highway,P0136,300
o2_sensor_drift_014,o2_sensor_drift,moderate,highway,P0136,300
o2_sensor_drift_015,o2_sensor_drift,severe,highway,P0136,300
o2_sensor_drift_016,o2_sensor_drift,moderate,city,P0136,300
o2_sensor_drift_017,o2_sensor_drift,moderate,highway,P0136,300
o2_sensor_drift_018,o2_sensor_drift,severe,highway,P0136,300
o2_sensor_drift_019,o2_sensor_drift,moderate,city,P0136,300
o2_sensor_drift_020,o2_sensor_drift,moderate,city,P0136,300
o2_sensor_drift_021,o2_sensor_drift,severe,city,P0136,300
o2_sensor_drift_022,o2_sensor_drift,moderate,city,P0136,300
o2_sensor_drift_023,o2_sensor_drift,moderate,city,P0136,300
o2_sensor_drift_024,o2_sensor_drift,severe,city,P0136,300
o2_sensor_stuck_000,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_001,o2_sensor_stuck,severe,highway,P0136,300
o2_sensor_stuck_002,o2_sensor_stuck,severe,city,P0136,300
o2_sensor_stuck_003,o2_sensor_stuck,moderate,highway,P0136,300
o2_sensor_stuck_004,o2_sensor_stuck,mild,highway,,300
o2_sensor_stuck_005,o2_sensor_stuck,mild,highway,,300
o2_sensor_stuck_006,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_007,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_008,o2_sensor_stuck,moderate,highway,P0136,300
o2_sensor_stuck_009,o2_sensor_stuck,severe,highway,P0136,300
o2_sensor_stuck_010,o2_sensor_stuck,moderate,highway,P0136,300
o2_sensor_stuck_011,o2_sensor_stuck,moderate,highway,P0136,300
o2_sensor_stuck_012,o2_sensor_stuck,severe,highway,P0136,300
o2_sensor_stuck_013,o2_sensor_stuck,moderate,highway,P0136,300
o2_sensor_stuck_014,o2_sensor_stuck,mild,city,,300
o2_sensor_stuck_015,o2_sensor_stuck,moderate,highway,P0136,300
o2_sensor_stuck_016,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_017,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_018,o2_sensor_stuck,severe,highway,P0136,300
o2_sensor_stuck_019,o2_sensor_stuck,moderate,highway,P0136,300
o2_sensor_stuck_020,o2_sensor_stuck,mild,highway,,300
o2_sensor_stuck_021,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_022,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_023,o2_sensor_stuck,moderate,city,P0136,300
o2_sensor_stuck_024,o2_sensor_stuck,moderate,city,P0136,300
alternator_failure_000,alternator_failure,moderate,highway,P0562,300
alternator_failure_001,alternator_failure,moderate,city,P0562,300
alternator_failure_002,alternator_failure,moderate,highway,P0562,300
alternator_failure_003,alternator_failure,severe,highway,P0562,300
alternator_failure_004,alternator_failure,mild,highway,,300
alternator_failure_005,alternator_failure,moderate,city,P0562,300
alternator_failure_006,alternator_failure,mild,highway,,300
alternator_failure_007,alternator_failure,severe,city,P0562,300
alternator_failure_008,alternator_failure,severe,highway,P0562,300
alternator_failure_009,alternator_failure,moderate,highway,P0562,300
alternator_failure_010,alternator_failure,mild,city,,300
alternator_failure_011,alternator_failure,mild,highway,,300
alternator_failure_012,alternator_failure,mild,highway,,300
alternator_failure_013,alternator_failure,moderate,city,P0562,300
alternator_failure_014,alternator_failure,moderate,city,P0562,300
alternator_failure_015,alternator_failure,severe,highway,P0562,300
alternator_failure_016,alternator_failure,moderate,city,P0562,300
alternator_failure_017,alternator_failure,mild,highway,,300
alternator_failure_018,alternator_failure,moderate,city,P0562,300
alternator_failure_019,alternator_failure,severe,highway,P0562,300
alternator_failure_020,alternator_failure,mild,highway,,300
alternator_failure_021,alternator_failure,mild,city,,300
alternator_failure_022,alternator_failure,mild,highway,,300
alternator_failure_023,alternator_failure,moderate,city,P0562,300
